t	DToutletrel	Toutlet	PhiFreeSurf	Ithermique	Phi0	IElecSR	IElecSI	IElecTR	IElecTI	IElecRR	IElecRI	ITotal	PElec	
0.5	0.135761	1473.14	4787.64	28725.9	1.47011	14.9703	0.000761896	-7.47494	13.7709	-7.47332	-13.7402	46.2698	66.0041	
1	1.29349e-07	1473.15	12088.8	72532.7	1.19436	14.9705	0.00076241	-7.47504	13.771	-7.47342	-13.7403	46.2701	72.0022	
1.5	6.77393e-07	1473.14	18610.8	111665	1.24744	14.9707	0.000763063	-7.47514	13.771	-7.47353	-13.7403	46.2704	78.0039	
2	1.27793e-06	1473.14	24503.1	147018	1.29839	14.9708	0.000763797	-7.47524	13.771	-7.47363	-13.7403	46.2708	84.0053	
2.5	1.76618e-06	1473.14	29846.6	179079	1.34741	14.971	0.000764552	-7.47534	13.771	-7.47373	-13.7403	46.2711	90.0072	
3	2.14984e-06	1473.14	34709.4	208256	1.3947	14.9712	0.000765293	-7.47544	13.7711	-7.47383	-13.7404	46.2715	96.0095	
3.5	2.47065e-06	1473.13	39147	234882	1.44045	14.9714	0.000766003	-7.47554	13.7711	-7.47393	-13.7404	46.2718	102.012	
4	2.74437e-06	1473.13	43212.9	259277	1.48479	14.9716	0.000766674	-7.47564	13.7711	-7.47403	-13.7404	46.2721	108.015	
4.5	2.98122e-06	1473.12	46945.6	281674	1.52785	14.9718	0.0007673	-7.47573	13.7711	-7.47413	-13.7404	46.2724	114.019	
5	3.19418e-06	1473.12	50379.5	302277	1.56973	14.972	0.000767892	-7.47583	13.7712	-7.47422	-13.7405	46.2728	120.022	
5.5	3.38681e-06	1473.11	53542.2	321253	1.61052	14.9722	0.000768447	-7.47593	13.7712	-7.47432	-13.7405	46.2731	126.027	
6	3.56542e-06	1473.11	56467.7	338806	1.65031	14.9724	0.00076897	-7.47603	13.7712	-7.47442	-13.7405	46.2734	132.031	
6.5	3.73427e-06	1473.1	59175.1	355051	1.68916	14.9725	0.000769464	-7.47612	13.7712	-7.47451	-13.7405	46.2738	138.036	
7	3.8964e-06	1473.1	61685.5	370113	1.72714	14.9727	0.000769934	-7.47622	13.7713	-7.47461	-13.7406	46.2741	144.041	
